# Traditional words excluded from the simplified-only pack
# generated 2026-09-26 from Fp1 lexicon scan (zhconv zh-cn)
㬉
䋻
䟃
䥕
䦟
䫀
䶊
上乾下乾
不怎么喝
不著
丙烯醯胺
丟
两个來
两个區
两个車
並
乘著
乳醯胺
乾
乾上坎下
乾上坤下
乾崑智驾
亂
亙
亚细安
人工智慧
介面
份外
份量
來
侖
俥
倆
倉
倫
側
傘
傳
傷
儂
儕
儺
兇
克卜勒
兌
兒
內
公升
冄
内醯胺
冊
冒著
列印
別
則
剋
剏
創
十馀万人
千有馀里
厠
參
叄
司法覆核
吶
咖哩
咖哩鱿鱼
咼
哪吒
唸
喎
喪
喲
嘔
嘠
噴
嚛
囃
固态磁碟
國
團
坎上乾下
坎城
塊
塟
墜
墾
壞
壽
大姊
大葛摩岛
妝
姊夫
姊姊
姊弟
嫋
嫰
嬈
嬝
嬪
嬭
孃
孃孃
孫
學
寀
寧
寬
尅
專
對
層
崙
嵾
帀
帛琉
帥
帬
庫
廁
廣
廹
张濛
彆
從
徹
怎么喝
恆
恠
悶
惻
懇
懷
拉著
拋
挩
挵
掃
掛
採
揯
損
搥
摋
摳
撦
撾
操作介面
擰
擴
擺
擾
攢
攷
敗
斷
晟矽微电
晶片
智慧型
暫
曬
朝著
本份
杜拜
東
枴
柺
栢
桒
梁靖崑
條
槫
槮
樂
樓
標
樢
橈
橫
檸
欑
欵
歐
殘
水份
沉著
況
洶
活著
海浬
涗
淪
測
渾
湊
準
滄
滅
滑鼠
滾
潤
澀
澁
濃
濆
濇
濶
瀨
灑
災
煗
熱
燈
燜
燶
爇
爍
牀
牎
牠
狀
獊
王濛
珐瑯
琺
琿
瓊
甕
甯
留著
畧
當
痠
瘡
瘧
癟
發
睡著
瞤
瞭
矽藻
矽铍石
砲
硒醯氟
硜
碩
確
祘
稅
稜
穇
穠
穤
穨
窓
窮
竄
筍
筴
箠
篛
篩
篸
簒
籐
粧
糖份
糝
糰
納
紐
純
紥
紮
組
絎
給
綳
綴
綽
縗
總
繆
繖
繞
纔
纕
纘
罇
罋
罰
羣
耿湋
肎
肥遯鸣高
脈
脣
腦
膿
臗
臟
自身分泌
艙
芸薹
荳
莊
萬
葛摩
蒐
蒲美蓬
蒼
蓀
蓋
蔥
蔦
蕘
薩
薰陶
薹
藥
蚩奼
蛻
蝦
蟘
衂
衊
袞
裊
裝
裠
褭
襍
襓
襪
覺
訥
評
詛
詪
該
誇
誒
說
説
誰
諄
諏
論
諰
諾
謀
謄
謬
譖
讓
讚
財
貧
買
貼
賊
賣
賽
贈
贊
贓
趁著
蹄髈
身体水份
身著
車
軟
載
輟
輪
輭
輮
輳
轉
辠
農
這
過
達
遶
還
鄒
醯基辅酶
釀
金日磾
釦
釵
釹
鈕
鉲
鉾
鉿
銩
銬
銳
鋝
鋭
鋱
錐
錒
錘
錯
鍀
鍒
鍛
鍮
鎓
鎚
鏃
鏗
鐏
鐵
鑠
鑹
鑽
钜惠
钜派投资
钱锺书
門
閂
開
閏
閫
闊
闖
阬
隊
隔著
隤
雙
雜
難
非同步的
順
頭
頹
頻
頽
顋
題
顙
類
须乾
颯
飩
飱
餒
餛
餪
饒
饢
馹
駑
駢
駭
騙
騰
騷
驓
马頔
骯
髒
髖
高解像度
髮
鬖
鬥
鬦
鬧
鮳
鯀
鯽
鰂
鰓
鱇
鱈
鱉
鱒
鳥
鴀
鶬
麥
麵
麹氏王朝
麼
麽
黛安娜
點
鼈
齜
𨭆
