# candidate<TAB>reading<TAB>weight
# Project-maintained additions for high-value tech/game/network/slang terms.
# Wanxiang remains the primary source; these entries only cover practical gaps.

# Network / homelab / development
主脑	zhu nao	6000
主谋	zhu mou	6000
主顾	zhu gu	6000
丽卡	li ka	6000
丽叶	li ye	6000
丽君	li jun	6000
丽婷	li ting	6000
丽泰	li tai	6000
丽茜	li qian	6000
丽贝	li bei	6000
举枪	ju qiang	6000
乃尔	nai er	6000
久仰	jiu yang	6000
久留	jiu liu	6000
久等	jiu deng	6000
之客	zhi ke	6000
乌代	wu dai	6000
乌希	wu xi	6000
乌拉	wu la	6000
乌苏	wu su	6000
乌黑	wu hei	6000
乐丝	le si	6000
乐蒂	le di	6000
乐西	le xi	6000
乐阳	le yang	6000
乔尔	qiao er	6000
乔尼	qiao ni	6000
乔斯	qiao si	6000
乔装	qiao zhuang	6000
乔迁	qiao qian	6000
乖仔	guai zai	6000
乜嘢	mie ye	6000
九儿	jiu er	6000
九千	jiu qian	6000
九百	jiu bai	6000
乞怜	qi lian	6000
乡民	xiang min	6000
乱党	luan dang	6000
乱写	luan xie	6000
乱叫	luan jiao	6000
乱扔	luan reng	6000
乱花	luan hua	6000
乱跳	luan tiao	6000
乳沟	ru gou	6000
乳牛	ru niu	6000
乳癌	ru ai	6000
乳罩	ru zhao	6000
乳香	ru xiang	6000
争光	zheng guang	6000
争锋	zheng feng	6000
事么	shi me	6000
事成	shi cheng	6000
二万	er wan	6000
二奶	er nai	6000
二重	er chong	6000
云吞	yun tun	6000
云尼	yun ni	6000
云斯	yun si	6000
云梯	yun ti	6000
云烟	yun yan	6000
云芳	yun fang	6000
云雀	yun que	6000
云霄	yun xiao	6000
云顿	yun dun	6000
互惠	hu hui	6000
五角	wu jiao	6000
井口	jing kou	6000
亘古	gen gu	6000
亚伦	ya lun	6000
亚伯	ya bo	6000
亚兰	ya lan	6000
亚努	ya nu	6000
亚契	ya qi	6000
亚姆	ya mu	6000
亚尼	ya ni	6000
亚撒	ya sa	6000
亚斯	ya si	6000
亚森	ya sen	6000
亚特	ya te	6000
亚蕾	ya lei	6000
亚诺	ya nuo	6000
亡命	wang ming	6000
亡魂	wang hun	6000
交保	jiao bao	6000
交加	jiao jia	6000
交口	jiao kou	6000
交合	jiao he	6000
交媾	jiao gou	6000
交托	jiao tuo	6000
产下	chan xia	6000
产士	chan shi	6000
产房	chan fang	6000
产期	chan qi	6000
产科	chan ke	6000
亮亮	liang liang	6000
亲嘴	qin zui	6000
亲娘	qin niang	6000
亲笔	qin bi	6000
人死	ren si	6000
人潮	ren chao	6000
人队	ren dui	6000
什卡	shen ka	6000
什堋	shen peng	6000
什幺	shen yao	6000
什金	shen jin	6000
仁太	ren tai	6000
仁香	ren xiang	6000
仇杀	chou sha	6000
今晨	jin chen	6000
今朝	jin zhao	6000
从今	cong jin	6000
从犯	cong fan	6000
从轻	cong qing	6000
仓仓	cang cang	6000
他命	ta ming	6000
他法	ta fa	6000
付清	fu qing	6000
代劳	dai lao	6000
代化	dai hua	6000
令尊	ling zun	6000
令郎	ling lang	6000
以撒	yi sa	6000
仰赖	yang lai	6000
份儿	fen er	6000
伊娃	yi wa	6000
伊州	yi zhou	6000
伊德	yi de	6000
伊恩	yi en	6000
伊拉	yi la	6000
伊曼	yi man	6000
伊桑	yi sang	6000
伊森	yi sen	6000
伊特	yi te	6000
伊莎	yi sha	6000
伊贺	yi he	6000
伊迪	yi di	6000
伐木	fa mu	6000
休会	xiu hui	6000
休姆	xiu mu	6000
休庭	xiu ting	6000
休想	xiu xiang	6000
休战	xiu zhan	6000
休止	xiu zhi	6000
休莎	xiu sha	6000
优厚	you hou	6000
优迪	you di	6000
会众	hui zhong	6000
会同	hui tong	6000
会否	hui fou	6000
伟哥	wei ge	6000
传令	chuan ling	6000
传呼	chuan hu	6000
传唤	chuan huan	6000
传家	chuan jia	6000
传真	chuan zhen	6000
传讯	chuan xun	6000
伦佐	lun zuo	6000
伦尼	lun ni	6000
伦巴	lun ba	6000
伪证	wei zheng	6000
伪钞	wei chao	6000
伯伦	bo lun	6000
伯塔	bo ta	6000
伯托	bo tuo	6000
伯曼	bo man	6000
伯森	bo sen	6000
伯母	bo mu	6000
伯班	bo ban	6000
伯瑞	bo rui	6000
伯纳	bo na	6000
伯雷	bo lei	6000
伴儿	ban er	6000
伴娘	ban niang	6000
伴郎	ban lang	6000
伸张	shen zhang	6000
伽子	ga zi	6000
伽玛	ga ma	6000
低潮	di chao	6000
住口	zhu kou	6000
住嘴	zhu zui	6000
住家	zhu jia	6000
住手	zhu shou	6000
佐伊	zuo yi	6000
佐伦	zuo lun	6000
佐夫	zuo fu	6000
佐拉	zuo la	6000
佐木	zuo mu	6000
佐殊	zuo shu	6000
佐治	zuo zhi	6000
佑野	you ye	6000
体统	ti tong	6000
何干	he gan	6000
何方	he fang	6000
余震	yu zhen	6000
佛斯	fu si	6000
佛格	fu ge	6000
佛洛	fu luo	6000
佛爷	fo ye	6000
佛瑞	fu rui	6000
佛莱	fu lai	6000
佛逊	fu xun	6000
作怪	zuo guai	6000
作梗	zuo geng	6000
佩克	pei ke	6000
佩卡	pei ka	6000
佩吉	pei ji	6000
佩尔	pei er	6000
佩拉	pei la	6000
佩林	pei lin	6000
佩特	pei te	6000
佩珀	pei po	6000
佩罗	pei luo	6000
佩蒂	pei di	6000
佩西	pei xi	6000
佩里	pei li	6000
佳美	jia mei	6000
佳英	jia ying	6000
佶秀	ji xiu	6000
供词	gong ci	6000
依云	yi yun	6000
侦测	zhen ce	6000
侦讯	zhen xun	6000
侧门	ce men	6000
侯默	hou mo	6000
侵吞	qin tun	6000
便条	bian tiao	6000
便池	bian chi	6000
便盆	bian pen	6000
便装	bian zhuang	6000
便车	bian che	6000
便饭	bian fan	6000
俊丘	jun qiu	6000
俊俏	jun qiao	6000
俊儿	jun er	6000
俊吉	jun ji	6000
俊平	jun ping	6000
俊殖	jun zhi	6000
俊河	jun he	6000
俊男	jun nan	6000
俊美	jun mei	6000
保人	bao ren	6000
保重	bao zhong	6000
保龄	bao ling	6000
信差	xin chai	6000
信物	xin wu	6000
修武	xiu wu	6000
修特	xiu te	6000
俱全	ju quan	6000
倒带	dao dai	6000
候鸟	hou niao	6000
借光	jie guang	6000
借宿	jie su	6000
假造	jia zao	6000
假钞	jia chao	6000
偏光	pian guang	6000
做鬼	zuo gui	6000
停息	ting xi	6000
停放	ting fang	6000
停步	ting bu	6000
停泊	ting bo	6000
停火	ting huo	6000
健二	jian er	6000
健硕	jian shuo	6000
健谈	jian tan	6000
偷去	tou qu	6000
偿命	chang ming	6000
傲骨	ao gu	6000
傻帽	sha mao	6000
傻蛋	sha dan	6000
像话	xiang hua	6000
僚机	liao ji	6000
僻静	pi jing	6000
儒勒	ru lei	6000
儿孙	er sun	6000
允熙	yun xi	6000
允诺	yun nuo	6000
元朗	yuan lang	6000
元祥	yuan xiang	6000
充公	chong gong	6000
兆头	zhao tou	6000
先令	xian ling	6000
先父	xian fu	6000
先王	xian wang	6000
先见	xian jian	6000
光临	guang lin	6000
光棍	guang gun	6000
光碟	guang die	6000
克伦	ke lun	6000
克兰	ke lan	6000
克劳	ke lao	6000
克山	ke shan	6000
克斯	ke si	6000
克朗	ke lang	6000
克森	ke sen	6000
克稲	ke dao	6000
克罗	ke luo	6000
克诺	ke nuo	6000
克鲁	ke lu	6000
免提	mian ti	6000
免遭	mian zao	6000
党羽	dang yu	6000
兜帽	dou mao	6000
兜风	dou feng	6000
入会	ru hui	6000
入座	ru zuo	6000
入微	ru wei	6000
入迷	ru mi	6000
全城	quan cheng	6000
全数	quan shu	6000
全票	quan piao	6000
全速	quan su	6000
全镇	quan zhen	6000
八天	ba tian	6000
八婆	ba po	6000
八方	ba fang	6000
八秒	ba miao	6000
公仆	gong pu	6000
公仔	gong zai	6000
公堂	gong tang	6000
公审	gong shen	6000
公室	gong shi	6000
公干	gong gan	6000
公报	gong bao	6000
公款	gong kuan	6000
公海	gong hai	6000
六四	liu si	6000
兰克	lan ke	6000
兰基	lan ji	6000
兰妮	lan ni	6000
兰姆	lan mu	6000
兰度	lan du	6000
兰斯	lan si	6000
兰特	lan te	6000
兰琪	lan qi	6000
兰福	lan fu	6000
兰考	lan kao	6000
兰若	lan re	6000
兰茜	lan qian	6000
兰茨	lan ci	6000
兰达	lan da	6000
兰迪	lan di	6000
共产	gong chan	6000
共犯	gong fan	6000
兴隆	xing long	6000
兵士	bing shi	6000
养病	yang bing	6000
内人	nei ren	6000
内兹	nei zi	6000
内定	nei ding	6000
内尔	nei er	6000
内应	nei ying	6000
内径	nei jing	6000
内斯	nei si	6000
内森	nei sen	6000
内特	nei te	6000
内罗	nei luo	6000
内萨	nei sa	6000
冈特	gang te	6000
冈瑟	gang se	6000
冈诺	gang nuo	6000
冈野	gang ye	6000
冉冉	ran ran	6000
冒名	mao ming	6000
冒牌	mao pai	6000
军令	jun ling	6000
军刀	jun dao	6000
军号	jun hao	6000
军情	jun qing	6000
军部	jun bu	6000
军需	jun xu	6000
农庄	nong zhuang	6000
农活	nong huo	6000
农舍	nong she	6000
冠冕	guan mian	6000
冤魂	yuan hun	6000
冥府	ming fu	6000
冬城	dong cheng	6000
冬月	dong yue	6000
冰棒	bing bang	6000
冰沙	bing sha	6000
冰河	bing he	6000
冰雕	bing diao	6000
冰霜	bing shuang	6000
冲凉	chong liang	6000
冲澡	chong zao	6000
冲走	chong zou	6000
决出	jue chu	6000
决哥	jue ge	6000
冷天	leng tian	6000
准将	zhun jiang	6000
凌风	ling feng	6000
凌驾	ling jia	6000
凝望	ning wang	6000
凤月	feng yue	6000
凯乐	kai le	6000
凯伊	kai yi	6000
凯伦	kai lun	6000
凯切	kai qie	6000
凯勒	kai lei	6000
凯夫	kai fu	6000
凯子	kai zi	6000
凯安	kai an	6000
凯布	kai bu	6000
凯拉	kai la	6000
凯撒	kai sa	6000
凯斯	kai si	6000
凯泽	kai ze	6000
凯特	kai te	6000
凯瑞	kai rui	6000
凯瑟	kai se	6000
凯茜	kai qian	6000
凯莎	kai sha	6000
凯菲	kai fei	6000
凯蒂	kai di	6000
凯许	kai xu	6000
凯顿	kai dun	6000
凶杀	xiong sha	6000
凶犯	xiong fan	6000
出列	chu lie	6000
出巡	chu xun	6000
出航	chu hang	6000
出诊	chu zhen	6000
出赛	chu sai	6000
出车	chu che	6000
刀枪	dao qiang	6000
分内	fen nei	6000
分文	fen wen	6000
切切	qie qie	6000
切尔	qie er	6000
切斯	qie si	6000
切特	qie te	6000
切科	qie ke	6000
切腹	qie fu	6000
切达	qie da	6000
刑具	xing ju	6000
刑场	xing chang	6000
刑讯	xing xun	6000
划清	hua qing	6000
划艇	hua ting	6000
列兵	lie bing	6000
列夫	lie fu	6000
列尼	lie ni	6000
列队	lie dui	6000
刘海	liu hai	6000
刚巧	gang qiao	6000
创界	chuang jie	6000
初八	chu ba	6000
初选	chu xuan	6000
刨根	pao gen	6000
利什	li shen	6000
利兰	li lan	6000
利山	li shan	6000
利恩	li en	6000
利托	li tuo	6000
利文	li wen	6000
利欧	li ou	6000
利波	li bo	6000
利爪	li zhua	6000
利特	li te	6000
利生	li sheng	6000
利秀	li xiu	6000
别别	bie bie	6000
别无	bie wu	6000
别有	bie you	6000
别林	bie lin	6000
别针	bie zhen	6000
刮脸	gua lian	6000
刮风	gua feng	6000
到脚	dao jiao	6000
刷爆	shua bao	6000
刺探	ci tan	6000
刺青	ci qing	6000
刺骨	ci gu	6000
剃头	ti tou	6000
前灯	qian deng	6000
前生	qian sheng	6000
前茅	qian mao	6000
剑术	jian shu	6000
剑龙	jian long	6000
剖腹	pou fu	6000
剥掉	bo diao	6000
剪子	jian zi	6000
割伤	ge shang	6000
办妥	ban tuo	6000
功率	gong lv	6000
加仑	jia lun	6000
加代	jia dai	6000
加兰	jia lan	6000
加害	jia hai	6000
加尔	jia er	6000
加文	jia wen	6000
加斯	jia si	6000
加森	jia sen	6000
加沙	jia sha	6000
加派	jia pai	6000
加百	jia bai	6000
加碧	jia bi	6000
加藤	jia teng	6000
加西	jia xi	6000
务长	wu zhang	6000
动弹	dong tan	6000
动怒	dong nu	6000
动气	dong qi	6000
动身	dong shen	6000
助兴	zhu xing	6000
努克	nu ke	6000
努斯	nu si	6000
劫犯	jie fan	6000
劫车	jie che	6000
劫难	jie nan	6000
劳伦	lao lun	6000
劳役	lao yi	6000
劳改	lao gai	6000
劳森	lao sen	6000
劳瑞	lao rui	6000
劳顿	lao dun	6000
勋爵	xun jue	6000
勒戒	lei jie	6000
勒紧	lei jin	6000
勘测	kan ce	6000
募款	mu kuan	6000
勤务	qin wu	6000
勤祥	qin xiang	6000
勾拳	gou quan	6000
包租	bao zu	6000
北佬	bei lao	6000
北端	bei duan	6000
匪夷	fei yi	6000
千千	qian qian	6000
千百	qian bai	6000
升职	sheng zhi	6000
午安	wu an	6000
半打	ban da	6000
半空	ban kong	6000
华伦	hua lun	6000
华安	hua an	6000
华弟	hua di	6000
华德	hua de	6000
华爷	hua ye	6000
华特	hua te	6000
华达	hua da	6000
华金	hua jin	6000
华颐	hua yi	6000
卑职	bei zhi	6000
卑贱	bei jian	6000
卓伊	zhuo yi	6000
卓恩	zhuo en	6000
卓斌	zhuo bin	6000
单亲	dan qin	6000
单帝	dan di	6000
单恋	dan lian	6000
南希	nan xi	6000
南特	nan te	6000
南端	nan duan	6000
博物	bo wu	6000
博迪	bo di	6000
占星	zhan xing	6000
卡丁	ka ding	6000
卡亚	ka ya	6000
卡什	ka shen	6000
卡伊	ka yi	6000
卡伦	ka lun	6000
卡伯	ka bo	6000
卡佳	ka jia	6000
卡兰	ka lan	6000
卡塔	ka ta	6000
卡多	ka duo	6000
卡姆	ka mu	6000
卡尼	ka ni	6000
卡崔	ka cui	6000
卡巴	ka ba	6000
卡布	ka bu	6000
卡帕	ka pa	6000
卡德	ka de	6000
卡恩	ka en	6000
卡托	ka tuo	6000
卡斯	ka si	6000
卡明	ka ming	6000
卡曼	ka man	6000
卡朋	ka peng	6000
卡林	ka lin	6000
卡森	ka sen	6000
卡洛	ka luo	6000
卡灰	ka hui	6000
卡然	ka ran	6000
卡玛	ka ma	6000
卡珊	ka shan	6000
卡纳	ka na	6000
卡茜	ka qian	6000
卡莉	ka li	6000
卡莱	ka lai	6000
卡萨	ka sa	6000
卡蒂	ka di	6000
卡蜜	ka mi	6000
卡路	ka lu	6000
卡辛	ka xin	6000
卡雷	ka lei	6000
卢卡	lu ka	6000
卧病	wo bing	6000
卧铺	wo pu	6000
卫门	wei men	6000
卫队	wei dui	6000
即兴	ji xing	6000
卷烟	juan yan	6000
卷进	juan jin	6000
卷饼	juan bing	6000
卸八	xie ba	6000
厄姆	e mu	6000
厄尔	e er	6000
厄尼	e ni	6000
厄玛	e ma	6000
厅长	ting zhang	6000
历尽	li jin	6000
压扁	ya bian	6000
厚颜	hou yan	6000
厩策	jiu ce	6000
厮混	si hun	6000
参勤	can qin	6000
参半	can ban	6000
参孙	can sun	6000
友子	you zi	6000
双城	shuang cheng	6000
双峰	shuang feng	6000
双眸	shuang mou	6000
反侧	fan ce	6000
反恐	fan kong	6000
反目	fan mu	6000
发信	fa xin	6000
发冷	fa leng	6000
发春	fa chun	6000
发瑞	fa rui	6000
发福	fa fu	6000
发贴	fa tie	6000
叔伯	shu bo	6000
叔公	shu gong	6000
取水	qu shui	6000
受困	shou kun	6000
受孕	shou yun	6000
受惊	shou jing	6000
受训	shou xun	6000
受雇	shou gu	6000
变卦	bian gua	6000
变心	bian xin	6000
变样	bian yang	6000
叛党	pan dang	6000
叛国	pan guo	6000
口交	kou jiao	6000
口信	kou xin	6000
口巴	kou ba	6000
口技	kou ji	6000
口讯	kou xun	6000
古拉	gu la	6000
古斯	gu si	6000
古柏	gu bai	6000
古爷	gu ye	6000
古萨	gu sa	6000
叫喊	jiao han	6000
叫嚷	jiao rang	6000
叮当	ding dang	6000
可憎	ke zeng	6000
可燃	ke ran	6000
史卓	shi zhuo	6000
右面	you mian	6000
号外	hao wai	6000
吃光	chi guang	6000
吃坏	chi huai	6000
吃奶	chi nai	6000
各就	ge jiu	6000
合用	he yong	6000
合眼	he yan	6000
吉伯	ji bo	6000
吉冈	ji gang	6000
吉娜	ji na	6000
吉帕	ji pa	6000
吉桑	ji sang	6000
吉森	ji sen	6000
吉欧	ji ou	6000
吉特	ji te	6000
吉瑞	ji rui	6000
吉诺	ji nuo	6000
吉豆	ji dou	6000
吊坠	diao zhui	6000
吊带	diao dai	6000
吊床	diao chuang	6000
吊桥	diao qiao	6000
吊着	diao zhe	6000
吊起	diao qi	6000
吊车	diao che	6000
同房	tong fang	6000
同窗	tong chuang	6000
同谋	tong mou	6000
名册	ming ce	6000
名扬	ming yang	6000
后半	hou ban	6000
后巷	hou xiang	6000
吐痰	tu tan	6000
吓坏	xia huai	6000
吕斯	lv si	6000
君特	jun te	6000
吞声	tun sheng	6000
吞拿	tun na	6000
吠叫	fei jiao	6000
听命	ting ming	6000
听筒	ting tong	6000
听错	ting cuo	6000
吭声	keng sheng	6000
启齿	qi chi	6000
吵吵	chao chao	6000
吵嘴	chao zui	6000
吸吮	xi shun	6000
吹拂	chui fu	6000
吹熄	chui xi	6000
吹箫	chui xiao	6000
吻别	wen bie	6000
呈堂	cheng tang	6000
告吹	gao chui	6000
告解	gao jie	6000
告退	gao tui	6000
员外	yuan wai	6000
员警	yuan jing	6000
呢喃	ni nan	6000
周折	zhou zhe	6000
周游	zhou you	6000
周详	zhou xiang	6000
命苦	ming ku	6000
和华	he hua	6000
和好	he hao	6000
和龙	he long	6000
咕哝	gu nong	6000
咕噜	gu lu	6000
咪吽	mi hong	6000
咬痕	yao hen	6000
咸水	xian shui	6000
哀痛	ai tong	6000
品川	pin chuan	6000
品脱	pin tuo	6000
哇靠	wa kao	6000
哈丁	ha ding	6000
哈伊	ha yi	6000
哈伦	ha lun	6000
哈克	ha ke	6000
哈兰	ha lan	6000
哈吉	ha ji	6000
哈喽	ha lou	6000
哈坎	ha kan	6000
哈奇	ha qi	6000
哈妮	ha ni	6000
哈姆	ha mu	6000
哈密	ha mi	6000
哈德	ha de	6000
哈恩	ha en	6000
哈拉	ha la	6000
哈曼	ha man	6000
哈根	ha gen	6000
哈桑	ha sang	6000
哈欠	ha qian	6000
哈比	ha bi	6000
哈珀	ha po	6000
哈珊	ha shan	6000
哈瑞	ha rui	6000
哈瓦	ha wa	6000
哈罗	ha luo	6000
哈肯	ha ken	6000
哈蒙	ha meng	6000
哈诺	ha nuo	6000
哈雷	ha lei	6000
哈鱼	ha yu	6000
哈默	ha mo	6000
哑剧	ya ju	6000
哦耶	o ye	6000
哨声	shao sheng	6000
哩咕	li gu	6000
哭丧	ku sang	6000
哲明	zhe ming	6000
哲秀	zhe xiu	6000
唇印	chun yin	6000
唇舌	chun she	6000
唉唉	ai ai	6000
唐璜	tang huang	6000
唾沫	tuo mo	6000
商定	shang ding	6000
商榷	shang que	6000
啊呀	a ya	6000
啜泣	chuo qi	6000
啮齿	nie chi	6000
喃喃	nan nan	6000
善事	shan shi	6000
善变	shan bian	6000
善哉	shan zai	6000
善战	shan zhan	6000
善敏	shan min	6000
善款	shan kuan	6000
善瑛	shan ying	6000
喊声	han sheng	6000
喜帖	xi tie	6000
喜讯	xi xun	6000
喝光	he guang	6000
喷涌	pen yong	6000
嗅探	xiu tan	6000
嗨唷	hai yo	6000
嘉农	jia nong	6000
嘉蕾	jia lei	6000
嘉迪	jia di	6000
嘎吱	ga zhi	6000
嘿咻	hei xiu	6000
噢不	o bu	6000
囚室	qiu shi	6000
四溅	si jian	6000
回天	hui tian	6000
回教	hui jiao	6000
回礼	hui li	6000
团团	tuan tuan	6000
困窘	kun jiong	6000
围坐	wei zuo	6000
固醇	gu chun	6000
国法	guo fa	6000
国玺	guo xi	6000
国荣	guo rong	6000
图尔	tu er	6000
图章	tu zhang	6000
图菈	tu la	6000
图谋	tu mou	6000
圆球	yuan qiu	6000
土狼	tu lang	6000
圣上	sheng shang	6000
圣坛	sheng tan	6000
圣歌	sheng ge	6000
圣殿	sheng dian	6000
圣父	sheng fu	6000
圣特	sheng te	6000
圣莫	sheng mo	6000
圣餐	sheng can	6000
在逃	zai tao	6000
地洞	di dong	6000
坎特	kan te	6000
坎蒂	kan di	6000
坏透	huai tou	6000
坐落	zuo luo	6000
块头	kuai tou	6000
坟场	fen chang	6000
坠子	zhui zi	6000
坦帕	tan pa	6000
坦纳	tan na	6000
垂危	chui wei	6000
垂涎	chui xian	6000
垂钓	chui diao	6000
型男	xing nan	6000
垦月	ken yue	6000
埃卡	ai ka	6000
埃塔	ai ta	6000
埃多	ai duo	6000
埃獶	ai nao	6000
埃罗	ai luo	6000
培恩	pei en	6000
基兰	ji lan	6000
基尼	ji ni	6000
基拉	ji la	6000
基根	ji gen	6000
堂兄	tang xiong	6000
堂妹	tang mei	6000
塑胶	su jiao	6000
塔丽	ta li	6000
塔台	ta tai	6000
塔塔	ta ta	6000
塔夫	ta fu	6000
塔尔	ta er	6000
塔斯	ta si	6000
塔林	ta lin	6000
塔格	ta ge	6000
塔波	ta bo	6000
塔特	ta te	6000
塔瑞	ta rui	6000
塔米	ta mi	6000
塔罗	ta luo	6000
塔西	ta xi	6000
塔诺	ta nuo	6000
塞姆	sai mu	6000
塞子	sai zi	6000
塞尔	sai er	6000
塞迪	sai di	6000
壕沟	hao gou	6000
壮阳	zhuang yang	6000
声纳	sheng na	6000
处男	chu nan	6000
备用	bei yong	6000
复明	fu ming	6000
夏娃	xia wa	6000
夏尔	xia er	6000
夏曼	xia man	6000
夏生	xia sheng	6000
夏绿	xia lv	6000
外泄	wai xie	6000
外海	wai hai	6000
外送	wai song	6000
多云	duo yun	6000
多佛	duo fu	6000
多利	duo li	6000
多姆	duo mu	6000
多尼	duo ni	6000
多心	duo xin	6000
多斯	duo si	6000
多端	duo duan	6000
多累	duo lei	6000
夜情	ye qing	6000
大吃	da chi	6000
大浪	da lang	6000
大田	da tian	6000
大褂	da gua	6000
大部	da bu	6000
大难	da nan	6000
天主	tian zhu	6000
天奴	tian nu	6000
天狼	tian lang	6000
天秤	tian cheng	6000
天长	tian zhang	6000
太公	tai gong	6000
